曲目名,专辑名,歌手,文件名
可爱女人,JAY,周杰伦,01 可爱女人.mp3
爱在西元前,范特西,周杰伦,01 爱在西元前.mp3
完美主义,JAY,周杰伦,02 完美主义.mp3
爸我回来了,范特西,周杰伦,02 爸我回来了.mp3
星晴,JAY,周杰伦,03 星晴 .mp3
简单爱,范特西,周杰伦,03 简单爱.mp3
娘子,JAY,周杰伦,04 娘子 .mp3
忍者,范特西,周杰伦,04 忍者.mp3
开不了口,范特西,周杰伦,05 开不了口.mp3
斗牛,JAY,周杰伦,05 斗牛 .mp3
上海一九四三,范特西,周杰伦,06 上海一九四三.mp3
黑色幽默,JAY,周杰伦,06 黑色幽默.mp3
伊斯坦堡,JAY,周杰伦,07 伊斯坦堡 .mp3
对不起,范特西,周杰伦,07 对不起.mp3
印地安老斑鸠,JAY,周杰伦,08 印地安老斑鸠.mp3
威廉古堡,范特西,周杰伦,08 威廉古堡.mp3
双截棍,范特西,周杰伦,09 双截棍.mp3
龙卷风,JAY,周杰伦,09 龙卷风 .mp3
反方向的钟,JAY,周杰伦,10 反方向的钟 .mp3
安静,范特西,周杰伦,10.安静.mp3
不能说的秘密,不能说的秘密,周杰伦,原声大碟 - 不能说的秘密.mp3
晴天娃娃,不能说的秘密,周杰伦,原声大碟 - 晴天娃娃.mp3
一路向北,头文字D,周杰伦,周杰伦 - 一路向北.mp3
七里香,七里香,周杰伦,周杰伦 - 七里香.mp3
三年二班,叶惠美,周杰伦,周杰伦 - 三年二班.mp3
东风破,叶惠美,周杰伦,周杰伦 - 东风破.mp3
乱舞春秋,七里香,周杰伦,周杰伦 - 乱舞春秋.mp3
以父之名,叶惠美,周杰伦,周杰伦 - 以父之名.mp3
你听得到,叶惠美,周杰伦,周杰伦 - 你听得到.mp3
借口,七里香,周杰伦,周杰伦 - 借口.mp3
分裂,八度空间,周杰伦,周杰伦 - 分裂.mp3
半兽人,八度空间,周杰伦,周杰伦 - 半兽人.mp3
半岛铁盒,八度空间,周杰伦,周杰伦 - 半岛铁盒.mp3
双刀,叶惠美,周杰伦,周杰伦 - 双刀.mp3
发如雪,十一月的萧邦,周杰伦,周杰伦 - 发如雪.mp3
同一种调调,叶惠美,周杰伦,周杰伦 - 同一种调调.mp3
听妈妈的话,依然范特西,周杰伦,周杰伦 - 听妈妈的话.mp3
